Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
a)                   | 145.50     | 193.38     | HBOUZZ+Cambria-Bold
2D                   | 157.84     | 193.38     | HBOUZZ+Cambria-Bold
b)                   | 389.06     | 193.38     | HBOUZZ+Cambria-Bold
3D                   | 401.94     | 193.38     | HBOUZZ+Cambria-Bold
Figure               | 176.26     | 223.20     | XELMPT+Cambria-Bold
177                  | 212.20     | 223.20     | XELMPT+Cambria-Bold
—                    | 233.44     | 223.20     | XELMPT+Cambria-Bold
Circular             | 246.86     | 223.20     | XELMPT+Cambria-Bold
run-out              | 291.20     | 223.20     | XELMPT+Cambria-Bold
indication           | 332.95     | 223.20     | XELMPT+Cambria-Bold
The                  | 36.85      | 253.50     | MDDDRP+Cambria
tolerance            | 58.47      | 253.50     | MDDDRP+Cambria
zone                 | 106.36     | 253.50     | MDDDRP+Cambria
defined              | 132.07     | 253.50     | MDDDRP+Cambria
by                   | 171.48     | 253.50     | MDDDRP+Cambria
the                  | 186.46     | 253.50     | MDDDRP+Cambria
specification        | 205.33     | 253.50     | MDDDRP+Cambria
in                   | 269.69     | 253.50     | MDDDRP+Cambria
Figure               | 282.46     | 253.50     | XELMPT+Cambria
177                  | 317.58     | 253.50     | XELMPT+Cambria
is                   | 338.21     | 253.50     | MDDDRP+Cambria
limited              | 349.59     | 253.50     | MDDDRP+Cambria
in                   | 387.19     | 253.50     | MDDDRP+Cambria
any                  | 399.97     | 253.50     | MDDDRP+Cambria
cylindrical          | 420.58     | 253.50     | MDDDRP+Cambria
section              | 475.08     | 253.50     | MDDDRP+Cambria
by                   | 512.88     | 253.50     | MDDDRP+Cambria
two                  | 36.85      | 265.60     | MDDDRP+Cambria
circles              | 58.91      | 265.60     | MDDDRP+Cambria
an                   | 93.44      | 265.60     | MDDDRP+Cambria
axial                | 108.73     | 265.60     | MDDDRP+Cambria
distance             | 135.42     | 265.60     | MDDDRP+Cambria
of                   | 179.42     | 265.60     | MDDDRP+Cambria
0,1                  | 192.09     | 265.60     | MDDDRP+Cambria
apart                | 209.85     | 265.60     | MDDDRP+Cambria
lying                | 239.18     | 265.60     | MDDDRP+Cambria
in                   | 266.54     | 265.60     | MDDDRP+Cambria
the                  | 279.46     | 265.60     | MDDDRP+Cambria
cylindrical          | 298.45     | 265.60     | MDDDRP+Cambria
section,             | 353.08     | 265.60     | MDDDRP+Cambria
the                  | 393.36     | 265.60     | MDDDRP+Cambria
axis                 | 412.36     | 265.60     | MDDDRP+Cambria
of                   | 435.24     | 265.60     | MDDDRP+Cambria
which                | 447.91     | 265.60     | MDDDRP+Cambria
coincides            | 480.27     | 265.60     | MDDDRP+Cambria
with                 | 36.85      | 277.70     | XELMPT+Cambria
the                  | 61.35      | 277.70     | XELMPT+Cambria
datum,               | 79.18      | 277.70     | XELMPT+Cambria
see                  | 115.01     | 277.70     | XELMPT+Cambria
Figure               | 133.03     | 277.70     | XELMPT+Cambria
178.                 | 167.12     | 277.70     | XELMPT+Cambria
a                    | 36.85      | 451.30     | XELMPT+Cambria
Datum                | 56.74      | 456.23     | XELMPT+Cambria
D.                   | 87.66      | 456.23     | XELMPT+Cambria
b                    | 36.85      | 466.17     | XELMPT+Cambria
Tolerance            | 56.74      | 471.10     | XELMPT+Cambria
zone.                | 100.67     | 471.10     | XELMPT+Cambria
c                    | 36.85      | 481.03     | XELMPT+Cambria
Any                  | 56.74      | 485.96     | MDDDRP+Cambria
diameter             | 75.60      | 485.96     | MDDDRP+Cambria
coaxial              | 116.52     | 485.96     | MDDDRP+Cambria
with                 | 148.52     | 485.96     | MDDDRP+Cambria
datum                | 170.14     | 485.96     | MDDDRP+Cambria
D.                   | 199.99     | 485.96     | MDDDRP+Cambria
Figure               | 124.60     | 517.47     | XELMPT+Cambria-Bold
178                  | 160.55     | 517.47     | XELMPT+Cambria-Bold
—                    | 181.68     | 517.47     | XELMPT+Cambria-Bold
Definition           | 195.10     | 517.47     | XELMPT+Cambria-Bold
of                   | 249.45     | 517.47     | XELMPT+Cambria-Bold
the                  | 261.66     | 517.47     | XELMPT+Cambria-Bold
circular             | 280.80     | 517.47     | XELMPT+Cambria-Bold
runout               | 324.07     | 517.47     | XELMPT+Cambria-Bold
tolerance            | 361.91     | 517.47     | XELMPT+Cambria-Bold
zone                 | 412.70     | 517.47     | XELMPT+Cambria-Bold
17.16.4              | 36.85      | 553.66     | XELMPT+Cambria-Bold
Circular             | 75.12      | 553.66     | XELMPT+Cambria-Bold
runout               | 118.29     | 553.66     | XELMPT+Cambria-Bold
in                   | 155.83     | 553.66     | XELMPT+Cambria-Bold
any                  | 168.35     | 553.66     | XELMPT+Cambria-Bold
direction            | 188.81     | 553.66     | XELMPT+Cambria-Bold
In                   | 36.85      | 575.46     | XELMPT+Cambria
Figure               | 51.25      | 575.46     | XELMPT+Cambria
179                  | 87.55      | 575.46     | XELMPT+Cambria
,                    | 104.26     | 575.46     | MDDDRP+Cambria
the                  | 111.15     | 575.46     | MDDDRP+Cambria
extracted            | 131.19     | 575.46     | MDDDRP+Cambria
line                 | 181.73     | 575.46     | MDDDRP+Cambria
in                   | 204.08     | 575.46     | MDDDRP+Cambria
