Word                 | X0         | Top        | Font
---------------------------------------------------------------------------
Key                  | 36.85      | 247.25     | HBOUZZ+Cambria-Bold
a                    | 36.85      | 283.79     | XELMPT+Cambria
datum                | 56.74      | 283.79     | XELMPT+Cambria
A                    | 86.59      | 283.79     | XELMPT+Cambria
b                    | 36.85      | 298.66     | XELMPT+Cambria
datum                | 56.74      | 298.66     | XELMPT+Cambria
B                    | 86.59      | 298.66     | XELMPT+Cambria
c                    | 36.85      | 313.52     | XELMPT+Cambria
real                 | 56.74      | 313.52     | MDDDRP+Cambria
feature              | 75.40      | 313.52     | MDDDRP+Cambria
or                   | 108.05     | 313.52     | MDDDRP+Cambria
filtered             | 119.70     | 313.52     | MDDDRP+Cambria
feature              | 153.01     | 313.52     | MDDDRP+Cambria
d                    | 36.85      | 328.39     | XELMPT+Cambria
maximum              | 56.74      | 328.39     | XELMPT+Cambria
inscribed            | 101.91     | 328.39     | XELMPT+Cambria
feature              | 144.00     | 328.39     | XELMPT+Cambria
e                    | 36.85      | 343.25     | XELMPT+Cambria
tolerance            | 56.74      | 343.25     | XELMPT+Cambria
zone                 | 98.85      | 343.25     | XELMPT+Cambria
f                    | 36.85      | 358.12     | XELMPT+Cambria
toleranced           | 56.74      | 358.12     | XELMPT+Cambria
feature              | 104.40     | 358.12     | XELMPT+Cambria
(centreline          | 137.05     | 358.12     | XELMPT+Cambria
for                  | 186.13     | 358.12     | XELMPT+Cambria
d)                   | 200.69     | 358.12     | XELMPT+Cambria
NOTE                 | 36.85      | 379.18     | XELMPT+Cambria
The                  | 85.04      | 379.18     | XELMPT+Cambria
toleranced           | 105.17     | 379.18     | XELMPT+Cambria
feature              | 155.15     | 379.18     | XELMPT+Cambria
is                   | 190.39     | 379.18     | XELMPT+Cambria
a                    | 201.17     | 379.18     | XELMPT+Cambria
straight             | 209.58     | 379.18     | XELMPT+Cambria
line                 | 247.73     | 379.18     | XELMPT+Cambria
(the                 | 267.50     | 379.18     | XELMPT+Cambria
centre               | 288.53     | 379.18     | XELMPT+Cambria
line                 | 319.95     | 379.18     | XELMPT+Cambria
of                   | 339.73     | 379.18     | XELMPT+Cambria
the                  | 351.56     | 379.18     | XELMPT+Cambria
associated           | 369.18     | 379.18     | XELMPT+Cambria
feature),            | 418.62     | 379.18     | XELMPT+Cambria
but                  | 459.25     | 379.18     | XELMPT+Cambria
